title,url,discounted_price,original_price
4 x Authentic Uwell Crown 5 FeCrAl UN2 Single Meshed Coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-single-meshed-coil-023ohm-p-20280.html,$9.41,$15.17 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Sandblast+Gunmetal,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-sandblastgunmetal-p-21222.html,$23.86,$24.35 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Black Silver,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-black-silver-p-20335.html,$42.32,$80.37 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Polished+Gunmetal,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-polishedgunmetal-p-21221.html,$23.86,$24.35 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Gunmetal,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-gunmetal-p-21201.html,$15.51,$26.54 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-10250.html,$1.19,$32.82 
Authentic VOOPOO DRAG 3 177W MOD - Classic,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-classic-p-20569.html,$34.13,$37.53 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Polished,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-polished-p-18571.html,$15.51,$26.54 
10pcs Authentic Wotofo Agleted Organic Cotton 6mm,https://www.cigabuy.com/10pcs-authentic-wotofo-agleted-organic-cotton-6mm-p-13261.html,$2.98,$4.74 
4 x Authentic Uwell Caliburn G UN2 Meshed-H 0.8ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-un2-meshed-h-08ohm-coil-p-19943.html,$9.03,$14.81 
Authentic Vandy Vape PULSE V2 BF 95W BOX MOD - G10 Obsidian Black,https://www.cigabuy.com/authentic-vandy-vape-pulse-v2-bf-95w-box-mod-g10-obsidian-black-p-19445.html,$42.12,$43.80 
Authentic VOOPOO DRAG 3 177W MOD - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-smoky-grey-p-20565.html,$35.13,$37.22 
4 x Authentic Uwell Crown 5 FeCrAl UN2-3 Triple Meshed Coil 0.2ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-3-triple-meshed-coil-02ohm-p-20282.html,$14.30,$23.27 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Grey Black,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-grey-black-p-20336.html,$44.35,$80.37 
5-in-1 Survival Bracelet Fire Starter Whistle Buckle Scraper Knife - Black,https://www.cigabuy.com/5-in-1-survival-bracelet-fire-starter-whistle-buckle-scraper-knife-black-p-21355.html,$1.19,$5.96 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Sandblast,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-sandblast-p-21202.html,$15.51,$26.54 
Authentic VOOPOO DRAG X Plus MOD - Classic,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-classic-p-20579.html,$28.88,$30.84 
