title,year,duration,rating,director,movie_url
Your Name.,2016,1h 46min,8.4,Makoto Shinkai,https://www.imdb.com/title/tt5311514/
The Shawshank Redemption,1994,2h 22min,9.3,Frank Darabont,https://www.imdb.com/title/tt0111161/
Django Unchained,2012,2h 45min,8.4,Quentin Tarantino,https://www.imdb.com/title/tt1853728/
Dangal,2016,2h 41min,8.4,Nitesh Tiwari,https://www.imdb.com/title/tt5074352/
Coco,2017,1h 45min,8.4,Lee Unkrich,https://www.imdb.com/title/tt2380307/
Avengers: Infinity War,2018,2h 29min,8.4,Anthony Russo,https://www.imdb.com/title/tt4154756/
Spider-Man: Into the Spider-Verse,2018,1h 57min,8.4,Bob Persichetti,https://www.imdb.com/title/tt4633694/
Ayla: The Daughter of War,2017,2h 5min,8.4,Can Ulkay,https://www.imdb.com/title/tt6316138/
Capernaum,2018,2h 6min,8.4,Nadine Labaki,https://www.imdb.com/title/tt8267604/
Avengers: Endgame,2019,3h 1min,8.4,Anthony Russo,https://www.imdb.com/title/tt4154796/
City Lights,1931,1h 27min,8.5,Charles Chaplin,https://www.imdb.com/title/tt0021749/
Joker,2019,2h 2min,8.4,Todd Phillips,https://www.imdb.com/title/tt7286456/
Hamilton,2020,2h 40min,8.4,Thomas Kail,https://www.imdb.com/title/tt8503618/
Modern Times,1936,1h 27min,8.5,Charles Chaplin,https://www.imdb.com/title/tt0027977/
Vikram Vedha,2017,2h 27min,8.4,Gayatri,https://www.imdb.com/title/tt6148156/
Casablanca,1942,1h 42min,8.5,Michael Curtiz,https://www.imdb.com/title/tt0034583/
Amélie,2001,2h 2min,8.3,Jean-Pierre Jeunet,https://www.imdb.com/title/tt0211915/
Eternal Sunshine of the Spotless Mind,2004,1h 48min,8.3,Michel Gondry,https://www.imdb.com/title/tt0338013/
Inglourious Basterds,2009,2h 33min,8.3,Quentin Tarantino,https://www.imdb.com/title/tt0361748/
The Father,2020,1h 37min,8.3,Florian Zeller,https://www.imdb.com/title/tt10272386/
A Separation,2011,2h 3min,8.3,Asghar Farhadi,https://www.imdb.com/title/tt1832382/
Dara of Jasenovac,2020,2h 10min,8.3,Predrag Antonijevic,https://www.imdb.com/title/tt10554232/
Incendies,2010,2h 11min,8.3,Denis Villeneuve,https://www.imdb.com/title/tt1255953/
The Hunt,2012,1h 55min,8.3,Thomas Vinterberg,https://www.imdb.com/title/tt2106476/
Drishyam,2013,2h 40min,8.3,Jeethu Joseph,https://www.imdb.com/title/tt3417422/
Tumbbad,2018,1h 44min,8.3,Rahi Anil Barve,https://www.imdb.com/title/tt8239946/
My Father and My Son,2005,1h 52min,8.3,Cagan Irmak,https://www.imdb.com/title/tt0476735/
1917,2019,1h 59min,8.3,Sam Mendes,https://www.imdb.com/title/tt8579674/
Sunset Blvd.,1950,1h 50min,8.4,Billy Wilder,https://www.imdb.com/title/tt0043014/
Chhichhore,2019,2h 23min,8.3,Nitesh Tiwari,https://www.imdb.com/title/tt9052870/
Paths of Glory,1957,1h 28min,8.4,Stanley Kubrick,https://www.imdb.com/title/tt0050825/
The Great Dictator,1940,2h 5min,8.4,Charles Chaplin,https://www.imdb.com/title/tt0032553/
Witness for the Prosecution,1957,1h 56min,8.4,Billy Wilder,https://www.imdb.com/title/tt0051201/
High and Low,1963,2h 23min,8.4,Akira Kurosawa,https://www.imdb.com/title/tt0057565/
Alien,1979,1h 57min,8.4,Ridley Scott,https://www.imdb.com/title/tt0078748/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35min,8.4,Stanley Kubrick,https://www.imdb.com/title/tt0057012/
The Shining,1980,2h 26min,8.4,Stanley Kubrick,https://www.imdb.com/title/tt0081505/
Apocalypse Now,1979,2h 27min,8.4,Francis Ford Coppola,https://www.imdb.com/title/tt0078788/
Indiana Jones and the Raiders of the Lost Ark,1981,1h 55min,8.4,Steven Spielberg,https://www.imdb.com/title/tt0082971/
Princess Mononoke,1997,2h 14min,8.4,Hayao Miyazaki,https://www.imdb.com/title/tt0119698/
Memento,2000,1h 53min,8.4,Christopher Nolan,https://www.imdb.com/title/tt0209144/
Oldboy,2003,1h 41min,8.4,Park Chan-Wook,https://www.imdb.com/title/tt0364569/
WALL·E,2008,1h 38min,8.4,Andrew Stanton,https://www.imdb.com/title/tt0910970/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=101"
The Lives of Others,2006,2h 17min,8.4,Florian Henckel von Donnersmarck,https://www.imdb.com/title/tt0405094/
Once Upon a Time in America,1984,3h 49min,8.4,Sergio Leone,https://www.imdb.com/title/tt0087843/
Once Upon a Time in the West,1968,2h 45min,8.5,Sergio Leone,https://www.imdb.com/title/tt0064116/
